R2_lm,R2_rf
-0.060121572,0.100895609
-0.058619946,0.10123253
-0.057976843,0.102309495
-0.053066242,0.102872146
-0.051362719,0.103442634
-0.050754734,0.104120065
-0.050728955,0.104267503
-0.049593144,0.105022859
-0.04878627,0.105204475
-0.048621286,0.105803496
-0.048556174,0.106105735
-0.046934165,0.108415835
-0.042543627,0.109014346
-0.042126116,0.109269587
-0.041657723,0.109849726
-0.038573867,0.109909766
-0.035975835,0.111807144
-0.034690737,0.112935513
-0.03306672,0.113212187
-0.032188257,0.113979147
-0.030467537,0.115035344
-0.030038587,0.11626974
-0.028726184,0.116571274
-0.025653383,0.117069209
-0.02371001,0.117213298
-0.022149074,0.120097135
-0.020845073,0.120862318
-0.020466485,0.123463673
-0.02008638,0.124309649
-0.018724918,0.124551254
-0.0166324,0.125399574
-0.014740744,0.126306004
-0.0134793,0.126761529
-0.013292242,0.127790507
-0.013192096,0.128669405
-0.013100644,0.130709466
-0.012204783,0.13158312
-0.009924415,0.134035344
-0.009854779,0.134489411
-0.009513299,0.135791324
-0.009057869,0.13599985
-0.008819838,0.136443096
-0.008715569,0.137937257
-0.007932851,0.139029344
-0.005113665,0.14063836
-0.002116152,0.140780276
-0.000425577,0.140832671
-7.20E-06,0.142973171
0.000700991,0.143048826
0.002406289,0.145290288
0.004909693,0.145894426
0.013266888,0.1466174
0.015045137,0.146899275
0.015623333,0.14805968
0.015989817,0.148566588
0.018142251,0.148674925
0.01846548,0.148799644
0.018864945,0.14883132
0.020791354,0.148894757
0.021190252,0.149138033
0.023007754,0.150060138
0.024672153,0.151449776
0.025947725,0.152129098
0.026663027,0.152834845
0.02682609,0.153232524
0.027250401,0.153736933
0.027444662,0.153859524
0.029857649,0.155274308
0.030950389,0.155433607
0.033548763,0.15581724
0.033690213,0.156448156
0.034543293,0.159177242
0.035651749,0.159376032
0.035651998,0.160337874
0.03695987,0.160367191
0.037652974,0.160463172
0.039850332,0.162102313
0.040297432,0.162296225
0.041085339,0.163504229
0.042429496,0.164342203
0.042511759,0.166876493
0.046252415,0.167087643
0.046423242,0.168525195
0.047662575,0.168686744
0.048750394,0.169285677
0.048804585,0.169409795
0.049330056,0.169547233
0.04949171,0.170948078
0.051162442,0.171013407
0.052928735,0.171565866
0.053830388,0.17199348
0.054042144,0.172729179
0.054587592,0.17287126
0.056117918,0.173014729
0.058299079,0.173574188
0.059316818,0.174401887
0.059363445,0.176401265
0.06044348,0.176693067
0.061920427,0.17746679
0.063856193,0.177877932
0.065714271,0.177940699
0.065787883,0.178180822
0.067294799,0.178843254
0.067587969,0.178989481
0.071562095,0.179933152
0.071900054,0.181612667
0.072281853,0.182281064
0.075646535,0.183059589
0.075931676,0.183230938
0.07625934,0.183420456
0.076311055,0.183627547
0.077376049,0.184398965
0.077497517,0.18545722
0.078482666,0.185714147
0.078483266,0.186087205
0.078827178,0.186202834
0.081830493,0.187032211
0.082045615,0.187409261
0.082598762,0.187667678
0.082617308,0.188229607
0.083078609,0.188980967
0.083331211,0.188994091
0.083348145,0.189093243
0.08371147,0.190965982
0.083940554,0.191308149
0.085094044,0.191359323
0.086385729,0.191736724
0.088262366,0.192287329
0.089387323,0.193665005
0.089475691,0.19380862
0.089969307,0.194123686
0.091806543,0.194556601
0.092452658,0.195817724
0.093060632,0.196246194
0.094692931,0.197146477
0.095984221,0.197246231
0.096205652,0.197652207
0.096409764,0.198327761
0.096861155,0.198710532
0.097302431,0.199144108
0.097611488,0.199448162
0.09794628,0.200803889
0.098948536,0.201097221
0.098991078,0.201176632
0.100031662,0.201932938
0.100398051,0.201998859
0.101828287,0.202082944
0.103872956,0.202820159
0.104953671,0.203826514
0.106100396,0.20564963
0.107609916,0.206949569
0.10822663,0.208546448
0.110107855,0.208926111
0.110736902,0.209044913
0.112053014,0.209777512
0.112454895,0.209904933
0.112753751,0.210561413
0.116847768,0.211512393
0.117104719,0.212776505
0.119851468,0.213243867
0.120099005,0.213397095
0.120286161,0.2148224
0.120486708,0.214874161
0.12108586,0.216106248
0.121225939,0.216317084
0.122215661,0.217338317
0.12280601,0.2177345
0.123070345,0.217850017
0.123200534,0.218365743
0.123609176,0.218412704
